id	pass	pass_theme	name	problem	mechanism	donor	why_missed	benefit	friction	machine_cost	risks	test	related	related_ids	novelty	verdict
L034	3	Curriculum shape	Pick by hook	[pass] courses are fixed sequences sized for institutions	choose among three questions with no topic names	choice and curiosity	[pass] syllabi serve cohorts and calendars	[pass] a curriculum sized to one life and its evidence	L	M	[pass] drift without structure	[pass] season-level delayed results	[computed] Autonomy; Three-boxes drill	L301 O4301	KNOWN	S
L035	3	Curriculum shape	Import other curricula's sessions	[pass] courses are fixed sequences sized for institutions	remix open courses	OER remixing	[pass] syllabi serve cohorts and calendars	[pass] a curriculum sized to one life and its evidence	L	M	rejected: rights problem	[pass] season-level delayed results	[computed] Alien-first sessions; Anti-silo hooks	O5218 L024	KNOWN	R:COPY
L036	3	Curriculum shape	Life-event trigger	[pass] courses are fixed sequences sized for institutions	a negotiation next week pulls the incentives session forward	just-in-time learning	[pass] syllabi serve cohorts and calendars	[pass] a curriculum sized to one life and its evidence	L	M	[pass] drift without structure	[pass] season-level delayed results	[computed] Life-as-lab forge; Interrupts	L054 L136	KNOWN	S
L037	3	Curriculum shape	No completion bars	[pass] courses are fixed sequences sized for institutions	never show % of a season done	anti-gamification critiques	[pass] syllabi serve cohorts and calendars	[pass] a curriculum sized to one life and its evidence	L	M	[pass] drift without structure	[pass] season-level delayed results	[computed] Unaided hooks; Auto-season from a book	O6001 L505	KNOWN	S
L038	3	Curriculum shape	Archive with reason	[pass] courses are fixed sequences sized for institutions	retired content kept with the reason	archival appraisal	[pass] syllabi serve cohorts and calendars	[pass] a curriculum sized to one life and its evidence	L	M	[pass] drift without structure	[pass] season-level delayed results	[computed] Extinction log; Retired-method archive	L083 O6518	KNOWN	S
L039	3	Curriculum shape	Year budget	[pass] courses are fixed sequences sized for institutions	25 min/day ≈ 150 h/year, allocated like capital	time budgeting	[pass] syllabi serve cohorts and calendars	[pass] a curriculum sized to one life and its evidence	L	M	[pass] drift without structure	[pass] season-level delayed results	[computed] Time-horizon switch; Hook budget cap	O5505 O5618	KNOWN	S
L040	4	Session unit	Decisive question as the unit	[pass] the lesson is a monologue on a topic	one question carries the lesson	Socratic questioning	[pass] lecture is the default format	[pass] each session built around one decision-bearing unit	L	M	[pass] fragmentation	[pass] in-session and delayed accuracy by unit type	[computed] No deadlock; Explorable model as the unit	L151 L041	KNOWN	S
L041	4	Session unit	Explorable model as the unit	[pass] the lesson is a monologue on a topic	a model you change is the lesson	explorable explanations (Victor; Case)	[pass] lecture is the default format	[pass] each session built around one decision-bearing unit	L	M	[pass] fragmentation	[pass] in-session and delayed accuracy by unit type	[computed] Decisive question as the unit; Rebuild test	L040 L011	KNOWN	S
L042	4	Session unit	Case contrast as the unit	[pass] the lesson is a monologue on a topic	two cases side by side	contrasting cases (Alfieri et al.)	[pass] lecture is the default format	[pass] each session built around one decision-bearing unit	L	M	[pass] fragmentation	[pass] in-session and delayed accuracy by unit type	[computed] Parallel primitives; Analogy pair as the unit	L140 L018	KNOWN	S
L043	4	Session unit	Two-minute clicks	[pass] the lesson is a monologue on a topic	tiny drills all day	microlearning	[pass] lecture is the default format	[pass] each session built around one decision-bearing unit	L	M	rejected: contradicted by evidence	[pass] in-session and delayed accuracy by unit type	[computed] Short-dose continuation; Hook budget cap	O6409 O5618	KNOWN	R:EVID
L044	4	Session unit	Primary artifact as the unit	[pass] the lesson is a monologue on a topic	a data table or passage is the lesson	primary-source pedagogy	[pass] lecture is the default format	[pass] each session built around one decision-bearing unit	L	M	[pass] fragmentation	[pass] in-session and delayed accuracy by unit type	[computed] Replicated sources; Decisive question as the unit	L181 L040	KNOWN	S
L045	4	Session unit	Argue with a historical position	[pass] the lesson is a monologue on a topic	defend Semmelweis's critics	role-play	[pass] lecture is the default format	[pass] each session built around one decision-bearing unit	L	M	[pass] fragmentation	[pass] in-session and delayed accuracy by unit type	[computed] Debate bot; Art as evidence	O5415 L240	KNOWN	[computed] M:Decisive question as the unit
L046	4	Session unit	Faded examples	[pass] the lesson is a monologue on a topic	worked → partly worked → solo	Renkl's fading	[pass] lecture is the default format	[pass] each session built around one decision-bearing unit	L	M	[pass] fragmentation	[pass] in-session and delayed accuracy by unit type	[computed] What-worked log; Egyptian examples first	L447 L370	KNOWN	S
L047	4	Session unit	Lessonless mode	[pass] the lesson is a monologue on a topic	mature primitives get only hooks and transfer	review decks	[pass] lecture is the default format	[pass] each session built around one decision-bearing unit	L	M	[pass] fragmentation	[pass] in-session and delayed accuracy by unit type	[computed] Taper before exams; Summary must pass a test	O7102 L123	KNOWN	S
L048	4	Session unit	Debug a wrong explanation	[pass] the lesson is a monologue on a topic	find the error in a plausible explanation	erroneous examples (Adams et al. 2014)	[pass] lecture is the default format	[pass] each session built around one decision-bearing unit	L	M	[pass] fragmentation	[pass] in-session and delayed accuracy by unit type	[computed] Explanation debugging; Error as an address	O6013 L003	KNOWN	S
L049	4	Session unit	Lesson as a level with a boss	[pass] the lesson is a monologue on a topic	game framing	games	[pass] lecture is the default format	[pass] each session built around one decision-bearing unit	L	M	rejected: decoration or gamification	[pass] in-session and delayed accuracy by unit type	[computed] Boss as story game; Multi-level boss	O6114 O6108	KNOWN	R:SLOP
L050	4	Session unit	Failure-first	[pass] the lesson is a monologue on a topic	see a real failure before the principle	case method	[pass] lecture is the default format	[pass] each session built around one decision-bearing unit	L	M	[pass] fragmentation	[pass] in-session and delayed accuracy by unit type	[computed] Pre-mortem; No single point of failure	L198 L406	KNOWN	[computed] M:Decisive question as the unit
L051	4	Session unit	One-sentence lesson	[pass] the lesson is a monologue on a topic	the whole lesson must fit one sentence	one-sentence summaries	[pass] lecture is the default format	[pass] each session built around one decision-bearing unit	L	M	[pass] fragmentation	[pass] in-session and delayed accuracy by unit type	[computed] Decisive question as the unit; Conversation seed	L040 L056	KNOWN	[computed] M:Decisive question as the unit
L052	4	Session unit	Dissolving lesson	[pass] the lesson is a monologue on a topic	steps disappear when a challenge is passed	expertise reversal (Kalyuga)	[pass] lecture is the default format	[pass] each session built around one decision-bearing unit	L	M	[pass] fragmentation	[pass] in-session and delayed accuracy by unit type	[computed] Specialist-generalist switch; Lesson as a level with a boss	O5020 L049	KNOWN	S
L053	5	Memory and the life bridge	Hooks inside later sessions	[pass] what is learned is not used or retained	memory kept by later sessions, not a review chore	mnemonic medium (Matuschak & Nielsen)	[pass] review is a separate chore; life is not measured	[pass] ideas kept alive inside later sessions and used in the week	L	L	[pass] self-report bias	[pass] hook accuracy and reality-tap rates	[computed] Memory without bureaucracy; Contradiction ledger	O5605 O5419	KNOWN	S
L054	5	Memory and the life bridge	Life-as-lab forge	[pass] what is learned is not used or retained	apply it this week	implementation intentions (Gollwitzer)	[pass] review is a separate chore; life is not measured	[pass] ideas kept alive inside later sessions and used in the week	L	L	[pass] self-report bias	[pass] hook accuracy and reality-tap rates	[computed] Life-minutes receipt; Teach someone	O6412 L061	KNOWN	S
L055	5	Memory and the life bridge	Moment prompts	[pass] what is learned is not used or retained	a prompt at the moment the mechanism appears in life	context-aware learning	[pass] review is a separate chore; life is not measured	[pass] ideas kept alive inside later sessions and used in the week	L	L	[pass] self-report bias	[pass] hook accuracy and reality-tap rates	[computed] Reflection prompts; Taste + mechanism	L455 L457	KNOWN	S
L056	5	Memory and the life bridge	Conversation seed	[pass] what is learned is not used or retained	one sentence to use with a friend	elaborative rehearsal	[pass] review is a separate chore; life is not measured	[pass] ideas kept alive inside later sessions and used in the week	L	L	[pass] self-report bias	[pass] hook accuracy and reality-tap rates	[computed] One-sentence lesson; Objective in plain words	L051 O6317	KNOWN	S
L057	5	Memory and the life bridge	Audio walks	[pass] what is learned is not used or retained	listen while walking	podcasts	[pass] review is a separate chore; life is not measured	[pass] ideas kept alive inside later sessions and used in the week	L	L	rejected: contradicted by evidence	[pass] hook accuracy and reality-tap rates	[computed] Wikipedia random walks; Audio cross-compile	L478 L167	KNOWN	R:EVID
L058	5	Memory and the life bridge	Observation quest	[pass] what is learned is not used or retained	spot one feedback loop today	noticing tasks	[pass] review is a separate chore; life is not measured	[pass] ideas kept alive inside later sessions and used in the week	L	L	[pass] self-report bias	[pass] hook accuracy and reality-tap rates	[computed] Rhythm as a loop; Intuition from many cases	L250 O5105	KNOWN	S
L059	5	Memory and the life bridge	Sleep before test	[pass] what is learned is not used or retained	the first hook comes after a night	sleep and consolidation	[pass] review is a separate chore; life is not measured	[pass] ideas kept alive inside later sessions and used in the week	L	L	[pass] self-report bias	[pass] hook accuracy and reality-tap rates	[computed] Sleep spacing; Failure-first	L328 L050	KNOWN	S
L060	5	Memory and the life bridge	Lock-screen diagrams	[pass] what is learned is not used or retained	passive exposure	ambient learning apps	[pass] review is a separate chore; life is not measured	[pass] ideas kept alive inside later sessions and used in the week	L	L	rejected: contradicted by evidence	[pass] hook accuracy and reality-tap rates	[computed] Causal model building; No pure-setup screen	L320 O4408	KNOWN	R:EVID
L061	5	Memory and the life bridge	Teach someone	[pass] what is learned is not used or retained	explain it to a person this week	learning by teaching	[pass] review is a separate chore; life is not measured	[pass] ideas kept alive inside later sessions and used in the week	L	L	[pass] self-report bias	[pass] hook accuracy and reality-tap rates	[computed] Life-as-lab forge; Life-minutes receipt	L054 O6412	KNOWN	S
L062	5	Memory and the life bridge	Journaling	[pass] what is learned is not used or retained	free reflection	learning journals	[pass] review is a separate chore; life is not measured	[pass] ideas kept alive inside later sessions and used in the week	L	L	rejected: open-ended thinking tax	[pass] hook accuracy and reality-tap rates	[computed] Reflection prompts; Free-text reflection box	L455 O4318	KNOWN	R:TAX
L063	5	Memory and the life bridge	Sketch it	[pass] what is learned is not used or retained	draw the loop on paper	drawing effect (Wammes et al.)	[pass] review is a separate chore; life is not measured	[pass] ideas kept alive inside later sessions and used in the week	L	L	[pass] self-report bias	[pass] hook accuracy and reality-tap rates	[computed] Rhythm as a loop; Tension curves	L250 L256	KNOWN	S
L064	5	Memory and the life bridge	Primitives inside medicine	[pass] what is learned is not used or retained	base rates shown inside CNS cases	clinical reasoning curricula	[pass] review is a separate chore; life is not measured	[pass] ideas kept alive inside later sessions and used in the week	L	L	[pass] self-report bias	[pass] hook accuracy and reality-tap rates	[computed] Medicine + base rates; Reference class	L462 L203	KNOWN	S
L065	5	Memory and the life bridge	Spiral reuse	[pass] what is learned is not used or retained	season 2 reuses season 1 primitives	spiral curriculum (Bruner)	[pass] review is a separate chore; life is not measured	[pass] ideas kept alive inside later sessions and used in the week	L	L	[pass] self-report bias	[pass] hook accuracy and reality-tap rates	[computed] Primitive dictionary; Seasons, not courses	L120 L027	KNOWN	S
L066	6	Biology donor	Immune memory	[pass] learning systems lack self-regulation	primary vs faster secondary response → expanding gaps	spacing	[pass] curricula have no homeostasis	[pass] the organ regulates dose, pruning and timing itself	L	M	[pass] metaphor over mechanism	[pass] does the regulation change measured outcomes	[computed] One button; Oral memory techniques	L417 L372	KNOWN	[computed] M:Apoptosis of representations
L067	6	Biology donor	Apoptosis of representations	[pass] learning systems lack self-regulation	prune those that never precede success	pruning in neural networks	[pass] curricula have no homeostasis	[pass] the organ regulates dose, pruning and timing itself	L	M	[pass] metaphor over mechanism	[pass] does the regulation change measured outcomes	[computed] Representation retirement; Representation tournament	O4812 L079	KNOWN	S
L068	6	Biology donor	Homeostatic time budget	[pass] learning systems lack self-regulation	minutes held near a set point	homeostasis	[pass] curricula have no homeostasis	[pass] the organ regulates dose, pruning and timing itself	L	M	[pass] metaphor over mechanism	[pass] does the regulation change measured outcomes	[computed] Dose controller; Minutes as currency	L092 L281	KNOWN	S
L069	6	Biology donor	Hormesis	[pass] learning systems lack self-regulation	small doses of difficulty	desirable difficulties (Bjork)	[pass] curricula have no homeostasis	[pass] the organ regulates dose, pruning and timing itself	L	M	[pass] metaphor over mechanism	[pass] does the regulation change measured outcomes	[computed] Microcode; Player-reading difficulty	L138 L216	KNOWN	[computed] M:Apoptosis of representations
L070	6	Biology donor	Plasticity windows	[pass] learning systems lack self-regulation	teach inside curiosity states	Gruber 2014	[pass] curricula have no homeostasis	[pass] the organ regulates dose, pruning and timing itself	L	M	[pass] metaphor over mechanism	[pass] does the regulation change measured outcomes	[computed] Rhythm as a loop; Light and material	L250 L273	KNOWN	S
L071	6	Biology donor	Symbiosis with medicine	[pass] learning systems lack self-regulation	Renaissance feeds on medical cases	symbiosis (biology)	[pass] curricula have no homeostasis	[pass] the organ regulates dose, pruning and timing itself	L	M	[pass] metaphor over mechanism	[pass] does the regulation change measured outcomes	[computed] Priority scheduler; Externalities on medicine	L144 L282	KNOWN	S
L072	6	Biology donor	Variation and selection of explanations	[pass] learning systems lack self-regulation	explanations compete	A/B testing	[pass] curricula have no homeostasis	[pass] the organ regulates dose, pruning and timing itself	L	M	[pass] metaphor over mechanism	[pass] does the regulation change measured outcomes	[computed] Hypothesis tester; Explanatory-depth probes	L184 L450	KNOWN	S
L073	6	Biology donor	Metabolic dose	[pass] learning systems lack self-regulation	session length follows energy	metabolic rate as budget	[pass] curricula have no homeostasis	[pass] the organ regulates dose, pruning and timing itself	L	M	[pass] metaphor over mechanism	[pass] does the regulation change measured outcomes	[computed] Minimum effective dose; Energy budgets	L006 L414	KNOWN	S
L074	6	Biology donor	Circadian gate	[pass] learning systems lack self-regulation	no sessions 01:00–05:00	sleep hygiene	[pass] curricula have no homeostasis	[pass] the organ regulates dose, pruning and timing itself	L	M	[pass] metaphor over mechanism	[pass] does the regulation change measured outcomes	[computed] Circadian timing; Live data sessions	L337 L436	KNOWN	S
L075	6	Biology donor	Mycorrhizal links	[pass] learning systems lack self-regulation	primitives "share nutrients"	mycorrhizal networks	[pass] curricula have no homeostasis	[pass] the organ regulates dose, pruning and timing itself	L	M	rejected: decoration or gamification	[pass] does the regulation change measured outcomes	[computed] Graph of primitives; Book → primitives	L349 L126	KNOWN	R:SLOP
L076	6	Biology donor	Sensory adaptation	[pass] learning systems lack self-regulation	rotate modes as novelty fades	attention research	[pass] curricula have no homeostasis	[pass] the organ regulates dose, pruning and timing itself	L	M	[pass] metaphor over mechanism	[pass] does the regulation change measured outcomes	[computed] Synthetic sense devices; Boss novelty guard	O4715 O6120	KNOWN	S
L077	6	Biology donor	Reflex arcs	[pass] learning systems lack self-regulation	if–then plans	implementation intentions	[pass] curricula have no homeostasis	[pass] the organ regulates dose, pruning and timing itself	L	M	[pass] metaphor over mechanism	[pass] does the regulation change measured outcomes	[computed] Implementation intentions; Reconsolidation	L300 L329	KNOWN	S
L078	6	Biology donor	Learner genome	[pass] learning systems lack self-regulation	a genome metaphor for the learner	learner models in ITS	[pass] curricula have no homeostasis	[pass] the organ regulates dose, pruning and timing itself	L	M	[pass] metaphor over mechanism	[pass] does the regulation change measured outcomes	[computed] Growth archive; Energy budgets	L410 L414	KNOWN	[computed] M:Apoptosis of representations
L079	7	Evolution donor	Representation tournament	[pass] content never improves by selection	each concept's representations compete on delayed success	bandits in education	[pass] materials are written once	[pass] representations and items that improve by selection on delayed outcomes	L	M	[pass] overfitting to one learner	[pass] fitness trends with n	[computed] Representation evolution loop; Representation generator + tournament	O6508 L496	KNOWN	S
L080	7	Evolution donor	Distractor mutation	[pass] content never improves by selection	new wrong options bred from real wrong answers	automatic distractor generation research	[pass] materials are written once	[pass] representations and items that improve by selection on delayed outcomes	L	M	[pass] overfitting to one learner	[pass] fitness trends with n	[computed] Distractor evolution; Misconception miner	L498 L495	KNOWN	S
L081	7	Evolution donor	Fitness = delayed transfer	[pass] content never improves by selection	selection on delayed transfer, not immediate accuracy	fitness functions (evolutionary computing)	[pass] materials are written once	[pass] representations and items that improve by selection on delayed outcomes	L	M	[pass] overfitting to one learner	[pass] fitness trends with n	[computed] Learner state vector; Representation fitness	O5901 O4802	KNOWN	S
L082	7	Evolution donor	Speciation	[pass] content never improves by selection	a primitive splits when learners confuse its cases	speciation (biology)	[pass] materials are written once	[pass] representations and items that improve by selection on delayed outcomes	L	M	[pass] overfitting to one learner	[pass] fitness trends with n	[computed] Intermediate representation; Just-in-time primitive	L162 L028	KNOWN	S
L083	7	Evolution donor	Extinction log	[pass] content never improves by selection	retired content with cause	fossil records	[pass] materials are written once	[pass] representations and items that improve by selection on delayed outcomes	L	M	[pass] overfitting to one learner	[pass] fitness trends with n	[computed] Archive with reason; Cognitive x-ray cause log	L038 O5905	KNOWN	S
L084	7	Evolution donor	Crossbreeding sessions	[pass] content never improves by selection	two primitives in one case (proxy × loop)	crossover operators	[pass] materials are written once	[pass] representations and items that improve by selection on delayed outcomes	L	M	[pass] overfitting to one learner	[pass] fitness trends with n	[computed] Parallel primitives; Model consistency check	L140 O5615	KNOWN	S
