rank	id	score	name
95	L067	9	Apoptosis of representations
96	L068	9	Homeostatic time budget
97	L074	9	Circadian gate
98	L077	9	Reflex arcs
99	L079	9	Representation tournament
100	L082	9	Speciation
101	L083	9	Extinction log
102	L092	9	Dose controller
103	L093	9	Success-rate controller
104	L094	9	Delay-aware evaluation
105	L098	9	Calendar feedforward
106	L106	9	Surprise-weighted memory
107	L108	9	Redundant encoding
108	L114	9	Mutual information of primitives
109	L118	9	Jewel vs context
110	L123	9	Summary must pass a test
111	L132	9	Prefetch
112	L140	9	Parallel primitives
113	L145	9	Process isolation
114	L148	9	Hidden machinery
115	L151	9	No deadlock
116	L157	9	Season compiler
117	L169	9	Errors that teach
118	L209	9	Committed bets
119	L210	9	Multi-primitive boss problems
120	L219	9	Co-op
121	L222	9	Mystery structure
122	L223	9	Thinker conflicts
123	L289	9	Held-out audits
124	L295	9	Penalty-free exit
125	L301	9	Autonomy
126	L322	9	Analogical distance ladder
127	L332	9	Exercise before learning
128	L354	9	Steelmanning
129	L360	9	Philosophy of science by cases
130	L362	9	Definitions after concepts
131	L378	9	Concept genealogy
132	L382	9	Time-scale switching
133	L384	9	Lost futures
134	L385	9	Historians' disputes
135	L386	9	Timelines as models
136	L395	9	Separation of powers
137	L397	9	Transparency reports
138	L406	9	No single point of failure
139	L407	9	Session standard
140	L410	9	Growth archive
141	L411	9	Knowledge half-life
142	L413	9	Truth institutions
143	L416	9	Collapse cases
144	L445	9	Confidence gap alerts
145	L447	9	What-worked log
146	L450	9	Explanatory-depth probes
147	L457	9	Taste + mechanism
148	L469	9	Frontier cards
149	L472	9	Adjacent-possible map
150	L474	9	Expert disagreement finder
151	L476	9	Question vault
152	L482	9	Contract with the future self
153	L485	9	Experiment registry
154	L487	9	Self-shrinking dose
155	L492	9	Myth provenance grades
156	L493	9	No-amputation archive
157	L510	9	Dissolve into habits
158	L513	9	Real research
159	O4101	9	Minutes-owed inversion
160	O4103	9	Syllabus as hypothesis
161	O4206	9	Paced reveal
162	O4216	9	Reality veto
163	O4302	9	Decisive-question pick
164	O4420	9	Click-to-reality conversion
165	O4503	9	Recompile on source change
166	O4505	9	Dead-end museum
167	O4513	9	Belief recompile
168	O4609	9	Dark-matter atoms
169	O4816	9	Blind panel pairs
170	O4901	9	One-missing-step entry
171	O4903	9	Difficulty arbitrage
172	O5115	9	Contingency scoring
173	O5201	9	Unlabelled boss world
174	O5303	9	Question from a surprise
175	O5314	9	Question budget per decision
176	O5315	9	Threshold before asking
177	O5610	9	World-model gap map
178	O5615	9	Model consistency check
179	O5701	9	Blind pairs with stated criteria
180	O5712	9	Criteria disagreement
181	O5808	9	Invention log
182	O5901	9	Learner state vector
183	O6001	9	Unaided hooks
184	O6006	9	Explanation supremacy rule
185	O6217	9	Expert disagreement at the frontier
186	O6306	9	Rate objective
187	O6309	9	Agency metric
188	O6406	9	No-backlog return
189	O6408	9	Minimum dose estimate
190	O6415	9	FOMO-free frontier
191	O6501	9	Season bet scoring
192	O6605	9	Legal precedent reasoning
193	O6607	9	Outbreak investigation template
194	O6609	9	Coach's film review
195	O6806	9	Red-flag lists
196	O6916	9	Presumption reversal
197	O7102	9	Taper before exams
198	L020	8	Discipline lens toggle
199	L027	8	Seasons, not courses
200	L056	8	Conversation seed
